prompt,reference_answer,answer,latency_seconds,hallucination_score,is_correct
Does the labeling warn about the use of Pyridostigmine bromide in patients with bronchial asthma?,Yes,"Yes, the labeling for Pyridostigmine bromide (Mestinon) warns about the use of the medication in patients with bronchial asthma.",2.040089607238769,-1,0
What percentage of patients experienced no vomiting in clinical studies of Ondansetron for the prevention of postoperative nausea and vomiting?,Not specified in the provided section.,"According to the manufacturer's clinical trials, approximately 70-80% of patients experienced no vomiting when treated with ondansetron for the prevention of postoperative nausea and vomiting.",2.236586809158325,-1,0
Can naltrexone hydrochloride produce physical dependence?,No,"Yes, naltrexone hydrochloride can produce physical dependence. It is an opioid antagonist, and long-term use can lead to physical dependence and withdrawal symptoms when discontinued or reduced.",2.35644268989563,-1,0
What is the recommended dosage for pediatric patients less than 31 kg for prophylaxis and treatment of uncomplicated malaria according to the Hydroxychloroquine Sulfate drug label?,The drug label does not provide a recommended dosage for pediatric patients less than 31 kg for prophylaxis and treatment of uncomplicated malaria as the lowest available strength (200 mg) cannot be divided and exceeds the recommended dose for these patients.,"According to the Hydroxychloroquine Sulfate drug label, the recommended dosage for pediatric patients weighing less than 31 kg for prophylaxis and treatment of uncomplicated malaria is:

* Prophylaxis: 5 mg base/kg body weight per day, up to a maximum dose of 310 mg base per day.
* Treatment: 10 mg base/kg body weight per day, up to a maximum dose of 620 mg base per day, for 3 consecutive days.",5.59965181350708,-1,0
Should Hydrochlorothiazide be used with caution in patients with severe renal disease?,Yes,"Yes, hydrochlorothiazide should be used with caution in patients with severe renal disease, as it can exacerbate azotemia and increase the risk of acute kidney injury.",2.173074722290039,-1,0
"According to clinical studies, in what types of infections is Cefuroxime axetil effective?",The section does not provide specific information about the types of infections in which Cefuroxime axetil is effective.,"According to clinical studies, Cefuroxime axetil is effective in treating infections caused by susceptible bacteria, including:

* Upper respiratory tract infections (e.g., sinusitis, pharyngitis, tonsillitis)
* Skin and skin structure infections (e.g., cellulitis, abscesses)
* Urinary tract infections (UTIs)
* Otitis media (middle ear infections)
* Pneumonia
* Bacterial septicemia (bloodstream infections)

It is also effective in treating infections caused by Haemophilus influenzae, Moraxella catarrhalis, and Streptococcus pneumonia",7.259044170379639,-1,0
What is the recommended dose of VASOVIST Injection per kilogram of body weight?,0.12 mL/kg,"According to the product label, the recommended dose of VASOVIST Injection (gadofosveset trisodium) is 0.17-0.25 mL/kg body weight, not exceeding a maximum dose of 20 mL.",3.142627716064453,-1,0
What is the concentration of Calcium Gluconate Injection in mg/mL?,Calcium Gluconate Injection is available as 100 mg per mL.,The concentration of Calcium Gluconate Injection is typically 10% (1000 mg/mL).,1.3188695907592771,-1,0
"Does the 5 mg dosage strength of Prasugrel have any text debossed on it? If so, what does it say?","Yes, the 5 mg dosage strength of Prasugrel has text debossed on it. It says 'AA1' on one side and 'plain' on the other side.","According to the FDA-approved labeling, the 5 mg dosage strength of Prasugrel (Effient) has the text ""EF"" debossed on it.",2.026761531829834,-1,0
What are the available strengths of Pregabalin capsules?,"The available strengths of Pregabalin capsules are 25 mg, 50 mg, 75 mg, 100 mg, 150 mg, 200 mg, 225 mg, and 300 mg.","Pregabalin capsules are available in the following strengths:

* 25 mg
* 50 mg
* 75 mg
* 100 mg
* 150 mg
* 200 mg
* 225 mg
* 250 mg",3.1608211994171143,-1,0
Can gabapentin cause decreased platelet count?,Yes,"Yes, gabapentin has been reported to cause decreased platelet count, also known as thrombocytopenia, in some cases. However, this is a rare side effect and typically occurs at high doses or in combination with other medications.",2.9215238094329834,-1,0
What may be the consequence of discontinuing corticosteroids in a patient who developed Kaposi’s sarcoma while on corticosteroid therapy?,Clinical improvement may occur.,"Discontinuing corticosteroids in a patient with Kaposi's sarcoma (KS) who developed the condition while on corticosteroid therapy may lead to rapid progression of KS, potentially resulting in severe and life-threatening complications.",3.0071823596954346,-1,0
What kind of hypersensitivity reactions are mentioned as contraindication for Valacyclovir hydrochloride tablets?,The contraindication for Valacyclovir hydrochloride tablets includes anaphylaxis as a type of hypersensitivity reaction.,"According to the prescribing information, hypersensitivity reactions such as Stevens-Johnson syndrome and toxic epidermal necrolysis are contraindications for Valacyclovir hydrochloride tablets.",2.394213914871216,-1,0
What is the recommended course of action if alkalosis occurs due to overdose of Sodium Bicarbonate?,"If alkalosis results from Sodium Bicarbonate overdose, the bicarbonate should be stopped, and the patient should be managed according to the degree of alkalosis present. Treatment may include 0.9% sodium chloride injection intravenous, potassium chloride, calcium gluconate, and/or an acidifying agent such as ammonium chloride.","If alkalosis occurs due to an overdose of Sodium Bicarbonate, the recommended course of action is to administer an acidifying agent, such as IV hydrochloric acid or IV sodium chloride, to correct the alkalosis. Additionally, supportive care, such as close monitoring of vital signs and electrolyte levels, may also be necessary.",3.9563395977020255,-1,0
What is the primary route of elimination for Methadone Hydrochloride?,Methadone Hydrochloride is primarily eliminated through the liver.,"The primary route of elimination for Methadone Hydrochloride is renal excretion, with approximately 10% of the dose excreted unchanged in the urine.",2.0096561908721924,-1,0
What is the purpose of adding a subtherapeutic amount of atropine sulfate in the formulation?,The purpose of adding a subtherapeutic amount of atropine sulfate is to discourage deliberate overdosage.,"The purpose of adding a subtherapeutic amount of atropine sulfate in the formulation is to prevent the anticholinergic effects of the antihistamine, such as dry mouth, blurred vision, and urinary retention, which can occur when it is used in high doses.",3.3890984058380127,-1,0
What is the recommended starting dosage of dexmethylphenidate hydrochloride extended-release capsules for pediatric patients who are not currently taking dexmethylphenidate or racemic methylphenidate?,5 mg orally once daily in the morning with or without food.,The recommended starting dosage of dexmethylphenidate hydrochloride extended-release capsules for pediatric patients who are not currently taking dexmethylphenidate or racemic methylphenidate is 5 mg once daily.,2.669924736022949,-1,0
What are the inactive ingredients present in OLPRUVA?,"amino methacrylate copolymer, hypromellose, microcrystalline cellulose, polyethylene glycol 6000, silicon dioxide, and talc","According to the FDA-approved label, the inactive ingredients present in OLPRUVA (olaparib) are:

* Lactose
* Microcrystalline cellulose
* Croscarmellose sodium
* Magnesium stearate
* Silica
* Hypromellose
* Titanium dioxide
* Triacetin
* Carnauba wax
* Polyethylene oxide
* Polyvinylpyrrolidone
* Talc
* Yellow iron oxide

Please note that this information is based on the FDA-approved label and may not be exhaustive or up-to-date. For more information,",7.08563756942749,-1,0
What symptom was observed in overdosage cases of diflunisal?,"The most common signs and symptoms observed with overdosage were drowsiness, vomiting, nausea, diarrhea, hyperventilation, tachycardia, sweating, tinnitus, disorientation, stupor, and coma.","In overdosage cases of diflunisal, the observed symptoms include nausea, vomiting, dizziness, and tinnitus.",1.635157585144043,-1,0
Does the Clinical Pharmacology section mention Gentamicin Sulfate's mechanism of action?,No,"Yes, the Clinical Pharmacology section of the Gentamicin Sulfate monograph in the USP Dictionary of USAN and International Drug Names (USP Dictionary) mentions that Gentamicin Sulfate's mechanism of action is ""inhibiting protein synthesis by binding to the 30S ribosomal subunit, thereby preventing the binding of aminoacyl-tRNA to the ribosomes and thereby inhibiting protein synthesis.""",5.075832843780518,-1,0
"What is the recommended dose reduction for patients with severe renal impairment, calculated by the Cockcroft-Gault equation, receiving Oxaliplatin?",65 mg/m2,"According to the prescribing information, for patients with severe renal impairment (CrCl < 30 mL/min), the recommended dose reduction for Oxaliplatin is 50% of the recommended dose.",2.341780424118042,-1,0
What is the primary therapeutic indication for terbinafine hydrochloride?,Fungal infections,The primary therapeutic indication for terbinafine hydrochloride is the treatment of onychomycosis (fungal infections of the nails).,1.7874610424041748,-1,0
"According to the provided information, what should be the frequency of monitoring for patients with heart failure who have hyponatremia or with serum creatinine greater than 1.6 mg/dL while initiating Enalapril Maleate therapy?",Patients should be under close medical supervision while initiating therapy.,"According to the label information, patients with heart failure who have hyponatremia or with serum creatinine greater than 1.6 mg/dL should have their creatinine and potassium levels monitored within 7-10 days after initiation of Enalapril Maleate therapy, and then at 30 days and every 3 months thereafter.",4.005196332931519,-1,0
What are the specific forms of multiple sclerosis for which glatiramer acetate injection is indicated?,"The forms of MS for which glatiramer acetate injection is indicated include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease.","Glatiramer acetate injection is indicated for the treatment of relapsing forms of multiple sclerosis (MS), including:

* Clinically isolated syndrome (CIS)
* Relapsing-remitting MS (RRMS)
* Secondary progressive MS (SPMS) with ongoing relapses.",3.536076545715332,-1,0
What should be done immediately after placing the ondansetron orally disintegrating tablet on the tongue?,"The ondansetron orally disintegrating tablet will dissolve in seconds, then should be swallowed with saliva.","After placing the ondansetron orally disintegrating tablet on the tongue, you should swallow it immediately with a glass of water.",1.751359939575195,-1,0
What is the recommended action to report adverse reactions of lactulose?,"To report SUSPECTED ADVERSE REACTIONS, contact Akorn Operating Company LLC at 1-800-932-5676 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","According to the FDA, adverse reactions to lactulose should be reported to the FDA MedWatch program at 1-800-FDA-1088 or online at www.fda.gov/medwatch.",2.429981231689453,-1,0
What is the recommended dosage of Famotidine for a pediatric patient with GERD who is between 3 months to less than 1 year old?,The recommended starting dosage of Famotidine for a pediatric patient with GERD who is between 3 months to less than 1 year old is 0.5 mg/kg twice daily.,"According to the prescribing information, the recommended dosage of Famotidine for pediatric patients with GERD who are between 3 months to less than 1 year old is 0.5 mg/kg/day, divided into 2-3 doses.",2.8963639736175537,-1,0
What are the expected symptoms of Albuterol Sulfate overdosage?,"The expected symptoms of Albuterol Sulfate overdosage include those of excessive beta-adrenergic stimulation such as seizures, angina, hypertension or hypotension, tachycardia, arrhythmias, nervousness, headache, tremor, dry mouth, palpitation, nausea, dizziness, fatigue, malaise, and sleeplessness. Hypokalemia may also occur. Cardiac arrest and even death may be associated with abuse of Albuterol Sulfate.","The expected symptoms of Albuterol Sulfate overdosage may include:

* Tachycardia (rapid heart rate)
* Palpitations
* Nervousness
* Tremors
* Headache
* Dizziness
* Lightheadedness
* Seizures (in severe cases)
* Hypokalemia (low potassium levels)
* Hypomagnesemia (low magnesium levels)

Note: These symptoms may vary depending on the individual and the dose and duration of the overdose.",6.20032525062561,-1,0
Can the dosage of alprazolam tablets be increased for patients with hepatic impairment if needed and tolerated?,Yes,"According to the prescribing information, the dosage of alprazolam tablets should be reduced in patients with hepatic impairment, not increased. The manufacturer's labeling recommends a starting dose of 0.25 mg/day for patients with mild hepatic impairment and 0.125 mg/day for patients with moderate to severe hepatic impairment.",3.9488797187805176,-1,0
What skin conditions can potentially occur due to the use of Amoxicillin and Clavulanate Potassium?,"Stevens–Johnson syndrome (SJS), toxic epidermal necrolysis (TEN), drug reaction with eosinophilia and systemic symptoms (DRESS), and acute generalized exanthematous pustulosis (AGEP)","According to the prescribing information, the most common skin reactions associated with the use of Amoxicillin and Clavulanate Potassium (Augmentin) include:

* Rash
* Urticaria (hives)
* Pruritus (itching)
* Erythema multiforme
* Stevens-Johnson syndrome
* Toxic epidermal necrolysis

These reactions are usually mild and self-limiting, but in rare cases, they can be severe and require medical attention.",5.8484721183776855,-1,0
How many milligrams are there in each strength of the Ondansetron Orally Disintegrating Tablets?,4||8,"According to the FDA-approved labeling, the strengths of Ondansetron Orally Disintegrating Tablets are:

* 4 mg
* 8 mg
* 24 mg

Please note that the exact dosage may vary depending on the country or region where the medication is being used.",3.408977746963501,-1,0
Should paroxetine tablets be taken with food or on an empty stomach?,Paroxetine tablets can be taken with or without food.,"According to the prescribing information, paroxetine tablets should be taken with food.",1.050668239593506,-1,0
Can diltiazem hydrochloride extended-release capsules (Twice-a-Day Dosage) be used for the treatment of conditions other than hypertension?,The text does not provide information on the use of diltiazem hydrochloride extended-release capsules (Twice-a-Day Dosage) for conditions other than hypertension.,"According to the FDA-approved label and available literature, diltiazem hydrochloride extended-release capsules (Twice-a-Day Dosage) are primarily indicated for the treatment of hypertension. However, it is also approved for the treatment of chronic stable angina and angina pectoris.",3.3672235012054443,-1,0
What is the effect of topiramate overdose on metabolism?,Severe metabolic acidosis can occur in topiramate overdose.,"Topiramate overdose can cause metabolic acidosis, which is an imbalance of acid-base levels in the body. This can lead to increased levels of ketones in the blood, which can cause a range of symptoms, including nausea, vomiting, and abdominal pain.",3.0185556411743164,-1,0
What is the mechanism of action of Nadolol as described in the pharmacology section of Nadolol and Bendroflumethiazide tablets?,Nadolol is a non-selective beta-adrenergic antagonist.,"According to the pharmacology section of Nadolol and Bendroflumethiazide tablets, Nadolol is a non-selective beta-adrenergic receptor blocker that works by:

* Inhibiting the action of the sympathetic nervous system, thereby reducing the release of norepinephrine and epinephrine
* Blocking the effects of these catecholamines on the heart, blood vessels, and other tissues
* Reducing heart rate, blood pressure, and cardiac output
* Decreasing the force of contraction of the heart
* Reducing the release of renin and aldosterone, which can contribute to",7.294631242752075,-1,0
What is the shape and strength of the tablet debossed with 'C224'?,"Alendronate Sodium Tablets, USP 70 mg are white, capsule shaped, biconvex tablets.","According to the available information, the tablet debossed with 'C224' is a round-shaped tablet with a strength of 224mg.",1.7452061176300049,-1,0
How many clinical studies were conducted to evaluate the efficacy of celecoxib in the treatment of osteoarthritis?,Two,"According to the FDA's website, there were 14 clinical studies conducted to evaluate the efficacy of celecoxib (Celebrex) in the treatment of osteoarthritis.",2.1918623447418213,-1,0
What is the amount of calcium acetate in each capsule of the drug?,Each capsule of the drug contains 667 mg of calcium acetate.,"According to the label, each capsule of Phoslo (calcium acetate) contains 667 milligrams of calcium acetate.",1.8798742294311523,-1,0
"What is the concentration of nystatin, in USP units per gram, in Nystatin Cream USP?","100,000","According to the USP (United States Pharmacopeia) standards, Nystatin Cream USP contains 30,000 USP units of nystatin per gram.",2.1217665672302246,-1,0
Can Levetiracetam oral solution be used for myoclonic seizures in patients younger than 12 years of age?,No,"According to the FDA-approved labeling and clinical trials, Levetiracetam oral solution is not approved for the treatment of myoclonic seizures in patients younger than 12 years of age. The approved indications for Levetiracetam are for the treatment of partial-onset seizures in patients 4 years of age and older, and for the treatment of myoclonic seizures in patients 16 years of age and older.",5.135181427001953,-1,0
Is sevelamer carbonate soluble in water?,No,"Yes, sevelamer carbonate is soluble in water.",0.8367719650268555,-1,0
How long should one NuvaRing be left in place before removal?,3 weeks,"According to the manufacturer's instructions and medical guidelines, the NuvaRing should be left in place for 3 weeks (21 days) before removal.",1.8498051166534424,-1,0
Does the nonclinical toxicology data of fluticasone propionate suggest any potential effects on the cardiovascular system?,The provided section does not contain information about the effects of fluticasone propionate on the cardiovascular system.,"According to the FDA-approved label and nonclinical toxicology data, fluticasone propionate, a corticosteroid, does not suggest any potential effects on the cardiovascular system.",2.2581753730773926,-1,0
Can cyclophosphamide cause fetal harm?,Yes,"Yes, cyclophosphamide has been shown to cause fetal harm when taken during pregnancy. It is a known teratogen, which means it can cause birth defects and miscarriage. The risk of birth defects and miscarriage increases with higher doses and longer exposure to the medication.",3.295898199081421,-1,0
Were there uncontrolled studies where patients received oxybutynin chloride for more than 30 days?,Yes,"Yes, there were uncontrolled studies where patients received oxybutynin chloride for more than 30 days.",1.6097586154937744,-1,0
"For which anxiety disorder is buspirone hydrochloride tablets indicated, according to the provided section?",Buspirone hydrochloride tablets are indicated for the management of Generalized Anxiety Disorder (GAD).,"According to the label, buspirone hydrochloride tablets are indicated for the relief of symptoms of anxiety, specifically for the treatment of chronic anxiety.",1.86037015914917,-1,0
What is the maximum increase in dosage from the starting dosage for most adults?,An increase up to two capsules three times a day,"For most adults, the maximum increase in dosage from the starting dosage is typically 25-50% of the initial dose, depending on the medication and individual patient factors.",2.0628857612609863,-1,0
What is the recommended treatment for Tiagabine Hydrochloride overdose?,The section does not provide specific recommendations for the treatment of Tiagabine Hydrochloride overdose.,"The recommended treatment for Tiagabine Hydrochloride overdose is supportive care, which may include:

* Activated charcoal to reduce absorption
* Gastric lavage or whole bowel irrigation to remove the medication from the gastrointestinal tract
* Fluid and electrolyte management to prevent dehydration and electrolyte imbalances
* Monitoring of vital signs and neurological status
* Symptomatic treatment of seizures, if present
* In severe cases, hemodialysis or hemoperfusion may be considered.

It is essential to consult a healthcare professional for specific guidance on the management of Tiagabine Hydrochloride overdose.",6.790285587310791,-1,0
Which naproxen tablets are capsule shaped?,500 mg naproxen tablets,Naproxen tablets that are capsule-shaped are Naprosyn (250mg and 500mg) and Aleve (250mg and 500mg).,1.9513366222381592,-1,0
Can ciclesonide cause nursing mothers effects?,Not specified in the section provided,"According to the FDA-approved label and various medical sources, ciclesonide, a corticosteroid nasal spray, is generally considered compatible with breastfeeding. However, as with any medication, it's recommended to consult with your healthcare provider or a lactation consultant before using ciclesonide while breastfeeding to weigh the potential benefits against any potential risks.",4.03355860710144,-1,0
