scenario,full_prompt,model_answer,ground_truth_answer,hallucination_label,original_context,question
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
Bush's margin of victory in the popular vote was the smallest ever for a reelected incumbent president, but marked the first time since his father's victory 16 years prior that a candidate won a majority of the popular vote. The electoral map closely resembled that of 2000, with only three states changing sides: New Mexico and Iowa voted Republican in 2004 after having voted Democratic in 2000, while New Hampshire voted Democratic in 2004 after previously voting Republican. In the Electoral College, Bush received 286 votes to Kerry's 252.

Question:
How many States renounced their preferred political party?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","Three states changed their preferred party in the 2004 election. 

New Mexico and Iowa voted Republican in 2004 after voting Democratic in 2000, and New Hampshire voted Democratic in 2004 after voting Republican.",three,0,"Bush's margin of victory in the popular vote was the smallest ever for a reelected incumbent president, but marked the first time since his father's victory 16 years prior that a candidate won a majority of the popular vote. The electoral map closely resembled that of 2000, with only three states changing sides: New Mexico and Iowa voted Republican in 2004 after having voted Democratic in 2000, while New Hampshire voted Democratic in 2004 after previously voting Republican. In the Electoral College, Bush received 286 votes to Kerry's 252.",How many States renounced their preferred political party?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
Recent molecular phylogenetic studies suggest that most placental orders diverged about 100 to 85 million years ago and that modern families appeared in the period from the late Eocene through the Miocene. But paleontologists object that no placental fossils have been found from before the end of the Cretaceous. The earliest undisputed fossils of placentals come from the early Paleocene, after the extinction of the dinosaurs. In particular, scientists have recently identified an early Paleocene animal named Protungulatum donnae as one of the first placental mammals. The earliest known ancestor of primates is Archicebus achilles from around 55 million years ago. This tiny primate weighed 20–30 grams (0.7–1.1 ounce) and could fit within a human palm.

Question:
How much did the first primate weigh?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","The first known ancestor of primates, Archicebus achilles, weighed 20–30 grams (0.7–1.1 ounce).",20–30 grams (0.7–1.1 ounce),0,"Recent molecular phylogenetic studies suggest that most placental orders diverged about 100 to 85 million years ago and that modern families appeared in the period from the late Eocene through the Miocene. But paleontologists object that no placental fossils have been found from before the end of the Cretaceous. The earliest undisputed fossils of placentals come from the early Paleocene, after the extinction of the dinosaurs. In particular, scientists have recently identified an early Paleocene animal named Protungulatum donnae as one of the first placental mammals. The earliest known ancestor of primates is Archicebus achilles from around 55 million years ago. This tiny primate weighed 20–30 grams (0.7–1.1 ounce) and could fit within a human palm.",How much did the first primate weigh?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
The term alloy is used to describe a mixture of atoms in which the primary constituent is a metal. The primary metal is called the base, the matrix, or the solvent. The secondary constituents are often called solutes. If there is a mixture of only two types of atoms, not counting impurities, such as a copper-nickel alloy, then it is called a binary alloy. If there are three types of atoms forming the mixture, such as iron, nickel and chromium, then it is called a ternary alloy. An alloy with four constituents is a quaternary alloy, while a five-part alloy is termed a quinary alloy. Because the percentage of each constituent can be varied, with any mixture the entire range of possible variations is called a system. In this respect, all of the various forms of an alloy containing only two constituents, like iron and carbon, is called a binary system, while all of the alloy combinations possible with a ternary alloy, such as alloys of iron, carbon and chromium, is called a ternary system.

Question:
The matrix and the solvent are other names for what?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","The primary metal in an alloy is also called the base, the matrix, or the solvent.",The primary metal,0,"The term alloy is used to describe a mixture of atoms in which the primary constituent is a metal. The primary metal is called the base, the matrix, or the solvent. The secondary constituents are often called solutes. If there is a mixture of only two types of atoms, not counting impurities, such as a copper-nickel alloy, then it is called a binary alloy. If there are three types of atoms forming the mixture, such as iron, nickel and chromium, then it is called a ternary alloy. An alloy with four constituents is a quaternary alloy, while a five-part alloy is termed a quinary alloy. Because the percentage of each constituent can be varied, with any mixture the entire range of possible variations is called a system. In this respect, all of the various forms of an alloy containing only two constituents, like iron and carbon, is called a binary system, while all of the alloy combinations possible with a ternary alloy, such as alloys of iron, carbon and chromium, is called a ternary system.",The matrix and the solvent are other names for what?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
Tourism is considered another important industry in Nepal. This industry started around 1950, as the country's political makeup changed and ended the country's isolation from the rest of the world. In 1956, air transportation was established and the Tribhuvan Highway, between Kathmandu and Raxaul (at India's border), was started. Separate organizations were created in Kathmandu to promote this activity; some of these include the Tourism Development Board, the Department of Tourism and the Civil Aviation Department. Furthermore, Nepal became a member of several international tourist associations. Establishing diplomatic relations with other nations further accentuated this activity. The hotel industry, travel agencies, training of tourist guides, and targeted publicity campaigns are the chief reasons for the remarkable growth of this industry in Nepal, and in Kathmandu in particular.

Question:
When did construction on the Tribhuvan Highway begin?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","Construction on the Tribhuvan Highway, between Kathmandu and Raxaul (at India's border), started in 1956.",1956,0,"Tourism is considered another important industry in Nepal. This industry started around 1950, as the country's political makeup changed and ended the country's isolation from the rest of the world. In 1956, air transportation was established and the Tribhuvan Highway, between Kathmandu and Raxaul (at India's border), was started. Separate organizations were created in Kathmandu to promote this activity; some of these include the Tourism Development Board, the Department of Tourism and the Civil Aviation Department. Furthermore, Nepal became a member of several international tourist associations. Establishing diplomatic relations with other nations further accentuated this activity. The hotel industry, travel agencies, training of tourist guides, and targeted publicity campaigns are the chief reasons for the remarkable growth of this industry in Nepal, and in Kathmandu in particular.",When did construction on the Tribhuvan Highway begin?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
The Korean War was a conflict between the United States and its United Nations allies and the communist powers under influence of the Soviet Union (also a UN member nation) and the People's Republic of China (which later also gained UN membership). The principal combatants were North and South Korea. Principal allies of South Korea included the United States, Canada, Australia, the United Kingdom, although many other nations sent troops under the aegis of the United Nations. Allies of North Korea included the People's Republic of China, which supplied military forces, and the Soviet Union, which supplied combat advisors and aircraft pilots, as well as arms, for the Chinese and North Korean troops.

Question:
What country supplied troops to North Korea during the Korean War?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The People's Republic of China supplied military forces to North Korea during the Korean War.,the People's Republic of China,0,"The Korean War was a conflict between the United States and its United Nations allies and the communist powers under influence of the Soviet Union (also a UN member nation) and the People's Republic of China (which later also gained UN membership). The principal combatants were North and South Korea. Principal allies of South Korea included the United States, Canada, Australia, the United Kingdom, although many other nations sent troops under the aegis of the United Nations. Allies of North Korea included the People's Republic of China, which supplied military forces, and the Soviet Union, which supplied combat advisors and aircraft pilots, as well as arms, for the Chinese and North Korean troops.",What country supplied troops to North Korea during the Korean War?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
In mathematics, the Persian mathematician Muhammad ibn Musa al-Khwarizmi gave his name to the concept of the algorithm, while the term algebra is derived from al-jabr, the beginning of the title of one of his publications. What is now known as Arabic numerals originally came from India, but Muslim mathematicians did make several refinements to the number system, such as the introduction of decimal point notation. Sabian mathematician Al-Battani (850-929) contributed to astronomy and mathematics, while Persian scholar Al-Razi contributed to chemistry and medicine.

Question:
What was Muhammad ibn Musa al-Khwarizmi's profession?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Muhammad ibn Musa al-Khwarizmi was a mathematician.,mathematician,0,"In mathematics, the Persian mathematician Muhammad ibn Musa al-Khwarizmi gave his name to the concept of the algorithm, while the term algebra is derived from al-jabr, the beginning of the title of one of his publications. What is now known as Arabic numerals originally came from India, but Muslim mathematicians did make several refinements to the number system, such as the introduction of decimal point notation. Sabian mathematician Al-Battani (850-929) contributed to astronomy and mathematics, while Persian scholar Al-Razi contributed to chemistry and medicine.",What was Muhammad ibn Musa al-Khwarizmi's profession?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
In infrared photography, infrared filters are used to capture the near-infrared spectrum. Digital cameras often use infrared blockers. Cheaper digital cameras and camera phones have less effective filters and can ""see"" intense near-infrared, appearing as a bright purple-white color. This is especially pronounced when taking pictures of subjects near IR-bright areas (such as near a lamp), where the resulting infrared interference can wash out the image. There is also a technique called 'T-ray' imaging, which is imaging using far-infrared or terahertz radiation. Lack of bright sources can make terahertz photography more challenging than most other infrared imaging techniques. Recently T-ray imaging has been of considerable interest due to a number of new developments such as terahertz time-domain spectroscopy.

Question:
What is used in infrared photography to capture the near-infrared spectrum?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Infrared filters are used in infrared photography to capture the near-infrared spectrum.,infrared filters,0,"In infrared photography, infrared filters are used to capture the near-infrared spectrum. Digital cameras often use infrared blockers. Cheaper digital cameras and camera phones have less effective filters and can ""see"" intense near-infrared, appearing as a bright purple-white color. This is especially pronounced when taking pictures of subjects near IR-bright areas (such as near a lamp), where the resulting infrared interference can wash out the image. There is also a technique called 'T-ray' imaging, which is imaging using far-infrared or terahertz radiation. Lack of bright sources can make terahertz photography more challenging than most other infrared imaging techniques. Recently T-ray imaging has been of considerable interest due to a number of new developments such as terahertz time-domain spectroscopy.",What is used in infrared photography to capture the near-infrared spectrum?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
Phase change materials such as paraffin wax and Glauber's salt are another thermal storage media. These materials are inexpensive, readily available, and can deliver domestically useful temperatures (approximately 64 °C or 147 °F). The ""Dover House"" (in Dover, Massachusetts) was the first to use a Glauber's salt heating system, in 1948. Solar energy can also be stored at high temperatures using molten salts. Salts are an effective storage medium because they are low-cost, have a high specific heat capacity and can deliver heat at temperatures compatible with conventional power systems. The Solar Two used this method of energy storage, allowing it to store 1.44 terajoules (400,000 kWh) in its 68 cubic metres storage tank with an annual storage efficiency of about 99%.

Question:
The first Glauber's salt heating system was first used where?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","The first Glauber's salt heating system was used in the ""Dover House"" in Dover, Massachusetts.","The ""Dover House""",0,"Phase change materials such as paraffin wax and Glauber's salt are another thermal storage media. These materials are inexpensive, readily available, and can deliver domestically useful temperatures (approximately 64 °C or 147 °F). The ""Dover House"" (in Dover, Massachusetts) was the first to use a Glauber's salt heating system, in 1948. Solar energy can also be stored at high temperatures using molten salts. Salts are an effective storage medium because they are low-cost, have a high specific heat capacity and can deliver heat at temperatures compatible with conventional power systems. The Solar Two used this method of energy storage, allowing it to store 1.44 terajoules (400,000 kWh) in its 68 cubic metres storage tank with an annual storage efficiency of about 99%.",The first Glauber's salt heating system was first used where?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
In the early 1900s, James J. Hill of the Great Northern began promoting settlement in the Montana prairie to fill his trains with settlers and goods. Other railroads followed suit. In 1902, the Reclamation Act was passed, allowing irrigation projects to be built in Montana's eastern river valleys. In 1909, Congress passed the Enlarged Homestead Act that expanded the amount of free land from 160 to 320 acres (0.6 to 1.3 km2) per family and in 1912 reduced the time to ""prove up"" on a claim to three years. In 1916, the Stock-Raising Homestead Act allowed homesteads of 640 acres in areas unsuitable for irrigation.  This combination of advertising and changes in the Homestead Act drew tens of thousands of homesteaders, lured by free land, with World War I bringing particularly high wheat prices. In addition, Montana was going through a temporary period of higher-than-average precipitation. Homesteaders arriving in this period were known as ""Honyockers"", or ""scissorbills."" Though the word ""honyocker"", possibly derived from the ethnic slur ""hunyak,"" was applied in a derisive manner at homesteaders as being ""greenhorns"", ""new at his business"" or ""unprepared"", the reality was that a majority of these new settlers had previous farming experience, though there were also many who did not.

Question:
What year was the Enlarged Homestead Act passed?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The Enlarged Homestead Act was passed in 1909.,1909,0,"In the early 1900s, James J. Hill of the Great Northern began promoting settlement in the Montana prairie to fill his trains with settlers and goods. Other railroads followed suit. In 1902, the Reclamation Act was passed, allowing irrigation projects to be built in Montana's eastern river valleys. In 1909, Congress passed the Enlarged Homestead Act that expanded the amount of free land from 160 to 320 acres (0.6 to 1.3 km2) per family and in 1912 reduced the time to ""prove up"" on a claim to three years. In 1916, the Stock-Raising Homestead Act allowed homesteads of 640 acres in areas unsuitable for irrigation.  This combination of advertising and changes in the Homestead Act drew tens of thousands of homesteaders, lured by free land, with World War I bringing particularly high wheat prices. In addition, Montana was going through a temporary period of higher-than-average precipitation. Homesteaders arriving in this period were known as ""Honyockers"", or ""scissorbills."" Though the word ""honyocker"", possibly derived from the ethnic slur ""hunyak,"" was applied in a derisive manner at homesteaders as being ""greenhorns"", ""new at his business"" or ""unprepared"", the reality was that a majority of these new settlers had previous farming experience, though there were also many who did not.",What year was the Enlarged Homestead Act passed?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
As a result of the magnitude 7.9 earthquake and the many strong aftershocks, many rivers became blocked by large landslides, which resulted in the formation of ""quake lakes"" behind the blockages; these massive amounts of water were pooling up at a very high rate behind the natural landslide dams and it was feared that the blockages would eventually crumble under the weight of the ever-increasing water mass, potentially endangering the lives of millions of people living downstream. As of May 27, 2008, 34 lakes had formed due to earthquake debris blocking and damming rivers, and it was estimated that 28 of them were still of potential danger to the local people. Entire villages had to be evacuated because of the resultant flooding.

Question:
What had to be evacuated due to potential flooding?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Entire villages had to be evacuated due to the resultant flooding.,Entire villages,0,"As a result of the magnitude 7.9 earthquake and the many strong aftershocks, many rivers became blocked by large landslides, which resulted in the formation of ""quake lakes"" behind the blockages; these massive amounts of water were pooling up at a very high rate behind the natural landslide dams and it was feared that the blockages would eventually crumble under the weight of the ever-increasing water mass, potentially endangering the lives of millions of people living downstream. As of May 27, 2008, 34 lakes had formed due to earthquake debris blocking and damming rivers, and it was estimated that 28 of them were still of potential danger to the local people. Entire villages had to be evacuated because of the resultant flooding.",What had to be evacuated due to potential flooding?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
The victorious great powers also gained an acknowledgement of their status through permanent seats at the League of Nations Council, where they acted as a type of executive body directing the Assembly of the League. However, the Council began with only four permanent members—the United Kingdom, France, Italy, and Japan—because the United States, meant to be the fifth permanent member, left because the US Senate voted on 19 March 1920 against the ratification of the Treaty of Versailles, thus preventing American participation in the League.

Question:
Who were the four permanent members of the League of Nations Council?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","The four permanent members of the League of Nations Council were the United Kingdom, France, Italy, and Japan.","United Kingdom, France, Italy, and Japan",0,"The victorious great powers also gained an acknowledgement of their status through permanent seats at the League of Nations Council, where they acted as a type of executive body directing the Assembly of the League. However, the Council began with only four permanent members—the United Kingdom, France, Italy, and Japan—because the United States, meant to be the fifth permanent member, left because the US Senate voted on 19 March 1920 against the ratification of the Treaty of Versailles, thus preventing American participation in the League.",Who were the four permanent members of the League of Nations Council?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
In September 2005, West announced that he would release his Pastelle Clothing line in spring 2006, claiming ""Now that I have a Grammy under my belt and Late Registration is finished, I am ready to launch my clothing line next spring."" The line was developed over the following four years – with multiple pieces teased by West himself – before the line was ultimately cancelled in 2009. In 2009, West collaborated with Nike to release his own shoe, the Air Yeezys, with a second version released in 2012. In January 2009, West introduced his first shoe line designed for Louis Vuitton during Paris Fashion Week. The line was released in summer 2009. West has additionally designed shoewear for Bape and Italian shoemaker Giuseppe Zanotti.

Question:
What company worked with Kanye in 2009 to create his own shoe line?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","In 2009, Kanye West collaborated with Nike to release his own shoe line, the Air Yeezys.",Nike,0,"In September 2005, West announced that he would release his Pastelle Clothing line in spring 2006, claiming ""Now that I have a Grammy under my belt and Late Registration is finished, I am ready to launch my clothing line next spring."" The line was developed over the following four years – with multiple pieces teased by West himself – before the line was ultimately cancelled in 2009. In 2009, West collaborated with Nike to release his own shoe, the Air Yeezys, with a second version released in 2012. In January 2009, West introduced his first shoe line designed for Louis Vuitton during Paris Fashion Week. The line was released in summer 2009. West has additionally designed shoewear for Bape and Italian shoemaker Giuseppe Zanotti.",What company worked with Kanye in 2009 to create his own shoe line?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
Education in Switzerland is very diverse because the constitution of Switzerland delegates the authority for the school system to the cantons. There are both public and private schools, including many private international schools. The minimum age for primary school is about six years in all cantons, but most cantons provide a free ""children's school"" starting at four or five years old. Primary school continues until grade four, five or six, depending on the school. Traditionally, the first foreign language in school was always one of the other national languages, although recently (2000) English was introduced first in a few cantons.

Question:
Who has authority of school systems in Switzerland?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","The cantons have the authority for the school system in Switzerland, as per the country's constitution.",the cantons,0,"Education in Switzerland is very diverse because the constitution of Switzerland delegates the authority for the school system to the cantons. There are both public and private schools, including many private international schools. The minimum age for primary school is about six years in all cantons, but most cantons provide a free ""children's school"" starting at four or five years old. Primary school continues until grade four, five or six, depending on the school. Traditionally, the first foreign language in school was always one of the other national languages, although recently (2000) English was introduced first in a few cantons.",Who has authority of school systems in Switzerland?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
The first ground attack came at the Battle of Umm Qasr on 21 March 2003 when a combined force of British, American and Polish forces seized control of the port city of Umm Qasr. Baghdad, Iraq's capital city, fell to American forces in April 2003 and Saddam Hussein's government quickly dissolved. On 1 May 2003, Bush announced that major combat operations in Iraq had ended. However, an insurgency arose against the U.S.-led coalition and the newly developing Iraqi military and post-Saddam government. The insurgency, which included al-Qaeda affiliated groups, led to far more coalition casualties than the invasion. Other elements of the insurgency were led by fugitive members of President Hussein's Ba'ath regime, which included Iraqi nationalists and pan-Arabists. Many insurgency leaders are Islamists and claim to be fighting a religious war to reestablish the Islamic Caliphate of centuries past. Iraq's former president, Saddam Hussein was captured by U.S. forces in December 2003. He was executed in 2006.

Question:
When did Bush say 'major combat operations' were complete in Iraq?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Bush announced that major combat operations in Iraq had ended on 1 May 2003.,1 May 2003,0,"The first ground attack came at the Battle of Umm Qasr on 21 March 2003 when a combined force of British, American and Polish forces seized control of the port city of Umm Qasr. Baghdad, Iraq's capital city, fell to American forces in April 2003 and Saddam Hussein's government quickly dissolved. On 1 May 2003, Bush announced that major combat operations in Iraq had ended. However, an insurgency arose against the U.S.-led coalition and the newly developing Iraqi military and post-Saddam government. The insurgency, which included al-Qaeda affiliated groups, led to far more coalition casualties than the invasion. Other elements of the insurgency were led by fugitive members of President Hussein's Ba'ath regime, which included Iraqi nationalists and pan-Arabists. Many insurgency leaders are Islamists and claim to be fighting a religious war to reestablish the Islamic Caliphate of centuries past. Iraq's former president, Saddam Hussein was captured by U.S. forces in December 2003. He was executed in 2006.",When did Bush say 'major combat operations' were complete in Iraq?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
Sir John Call argued the advantages of Norfolk Island in that it was uninhabited and that New Zealand flax grew there. In 1786 the British government included Norfolk Island as an auxiliary settlement, as proposed by John Call, in its plan for colonisation of New South Wales. The decision to settle Norfolk Island was taken due to Empress Catherine II of Russia's decision to restrict sales of hemp. Practically all the hemp and flax required by the Royal Navy for cordage and sailcloth was imported from Russia.

Question:
What woman influenced the decision by the British to settle Norfolk Island?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Empress Catherine II of Russia.,Empress Catherine II of Russia,0,"Sir John Call argued the advantages of Norfolk Island in that it was uninhabited and that New Zealand flax grew there. In 1786 the British government included Norfolk Island as an auxiliary settlement, as proposed by John Call, in its plan for colonisation of New South Wales. The decision to settle Norfolk Island was taken due to Empress Catherine II of Russia's decision to restrict sales of hemp. Practically all the hemp and flax required by the Royal Navy for cordage and sailcloth was imported from Russia.",What woman influenced the decision by the British to settle Norfolk Island?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
India's cotton-processing sector gradually declined during British expansion in India and the establishment of colonial rule during the late 18th and early 19th centuries. This was largely due to aggressive colonialist mercantile policies of the British East India Company, which made cotton processing and manufacturing workshops in India uncompetitive. Indian markets were increasingly forced to supply only raw cotton and, by British-imposed law, to purchase manufactured textiles from Britain.[citation needed]

Question:
What British business's policies damaged the Indian cotton industry?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The British East India Company's aggressive colonialist mercantile policies damaged the Indian cotton industry.,British East India Company,0,"India's cotton-processing sector gradually declined during British expansion in India and the establishment of colonial rule during the late 18th and early 19th centuries. This was largely due to aggressive colonialist mercantile policies of the British East India Company, which made cotton processing and manufacturing workshops in India uncompetitive. Indian markets were increasingly forced to supply only raw cotton and, by British-imposed law, to purchase manufactured textiles from Britain.[citation needed]",What British business's policies damaged the Indian cotton industry?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
During the 1981 Trooping the Colour ceremony and only six weeks before the wedding of Charles, Prince of Wales, and Lady Diana Spencer, six shots were fired at the Queen from close range as she rode down The Mall on her horse, Burmese. Police later discovered that the shots were blanks. The 17-year-old assailant, Marcus Sarjeant, was sentenced to five years in prison and released after three. The Queen's composure and skill in controlling her mount were widely praised. From April to September 1982, the Queen remained anxious but proud of her son, Prince Andrew, who was serving with British forces during the Falklands War. On 9 July, the Queen awoke in her bedroom at Buckingham Palace to find an intruder, Michael Fagan, in the room with her. Remaining calm and through two calls to the Palace police switchboard, she spoke to Fagan while he sat at the foot of her bed until assistance arrived seven minutes later. Though she hosted US President Ronald Reagan at Windsor Castle in 1982 and visited his Californian ranch in 1983, she was angered when his administration ordered the invasion of Grenada, one of her Caribbean realms, without informing her.

Question:
During what ceremony were shots fired at the Queen?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The shots were fired at the Queen during the 1981 Trooping the Colour ceremony.,Trooping the Colour,0,"During the 1981 Trooping the Colour ceremony and only six weeks before the wedding of Charles, Prince of Wales, and Lady Diana Spencer, six shots were fired at the Queen from close range as she rode down The Mall on her horse, Burmese. Police later discovered that the shots were blanks. The 17-year-old assailant, Marcus Sarjeant, was sentenced to five years in prison and released after three. The Queen's composure and skill in controlling her mount were widely praised. From April to September 1982, the Queen remained anxious but proud of her son, Prince Andrew, who was serving with British forces during the Falklands War. On 9 July, the Queen awoke in her bedroom at Buckingham Palace to find an intruder, Michael Fagan, in the room with her. Remaining calm and through two calls to the Palace police switchboard, she spoke to Fagan while he sat at the foot of her bed until assistance arrived seven minutes later. Though she hosted US President Ronald Reagan at Windsor Castle in 1982 and visited his Californian ranch in 1983, she was angered when his administration ordered the invasion of Grenada, one of her Caribbean realms, without informing her.",During what ceremony were shots fired at the Queen?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
The Pitchfork online music publication ranked My Beautiful Dark Twisted Fantasy as the world's best album of the decade ""so far""—between 2010 and 2014—on August 19, 2014, while Yeezus was ranked in the eighth position of a list of 100 albums. During the same week, the song ""Runaway"" (featuring Pusha T) was ranked in the third position in the publication's list of the 200 ""best tracks"" released since 2010.

Question:
What album was ranked 8 on a list of 100 albums?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Yeezus was ranked in the eighth position of a list of 100 albums.,Yeezus,0,"The Pitchfork online music publication ranked My Beautiful Dark Twisted Fantasy as the world's best album of the decade ""so far""—between 2010 and 2014—on August 19, 2014, while Yeezus was ranked in the eighth position of a list of 100 albums. During the same week, the song ""Runaway"" (featuring Pusha T) was ranked in the third position in the publication's list of the 200 ""best tracks"" released since 2010.",What album was ranked 8 on a list of 100 albums?
standard,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are a helpful assistant. Answer the following question based ONLY on the provided context.<|eot_id|><|start_header_id|>user<|end_header_id|>

Context:
The city hockey club, Southampton Hockey Club, founded in 1938, is now one of the largest and highly regarded clubs in Hampshire, fielding 7 senior men's and 5 senior ladies teams on a weekly basis along with boys’ and girls’ teams from 6 upwards.

Question:
Weekly, how many senior ladies teams does Southampton Hockey Club field?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Southampton Hockey Club fields 5 senior ladies teams on a weekly basis.,5,0,"The city hockey club, Southampton Hockey Club, founded in 1938, is now one of the largest and highly regarded clubs in Hampshire, fielding 7 senior men's and 5 senior ladies teams on a weekly basis along with boys’ and girls’ teams from 6 upwards.","Weekly, how many senior ladies teams does Southampton Hockey Club field?"
